Source 기업명,Source 모기업명,Source_산업,Target 기업명,Target_모기업,Target_산업,Year,relation_type,dependency_direction,risk_language_score,investment_mentioned,contract_scale_score,no_alternative_mentioned,spillover_type,source_section,source_raw_name,source_canonical_name,source_canonical_firm_id,source_entity_level,source_entity_type,source_parent_canonical_name,source_parent_firm_id,source_mapping_found,target_raw_name,target_canonical_name,target_canonical_firm_id,target_entity_level,target_entity_type,target_parent_canonical_name,target_parent_firm_id,target_mapping_found,source_parent_hint_raw_name,source_parent_hint_canonical_name,source_parent_hint_canonical_firm_id,source_parent_hint_entity_level,source_parent_hint_entity_type,source_parent_hint_parent_canonical_name,source_parent_hint_parent_firm_id,source_parent_hint_mapping_found,target_parent_hint_raw_name,target_parent_hint_canonical_name,target_parent_hint_canonical_firm_id,target_parent_hint_entity_level,target_parent_hint_entity_type,target_parent_hint_parent_canonical_name,target_parent_hint_parent_firm_id,target_parent_hint_mapping_found,risk_source_id,risk_source_name,risk_target_id,risk_target_name,risk_direction_rule,risk_edge_valid,is_reciprocal_expansion,risk_language_score_norm,contract_scale_score_norm,no_alternative_flag,investment_flag,edge_weight_v1
Alphabet Inc.,Google,Internet / Cloud / AI,Google DeepMind,Google,AI / ML Research,2025,subsidiary,upstream,0.3,Y,0.0,Y,operational,기타,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Google DeepMind,Google DeepMind,FIRM_0063,subsidiary,ai_research,Google,FIRM_0061,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0063,Google DeepMind,FIRM_0006,Alphabet,target_is_upstream_of_source,True,False,0.3,0.0,1,1,0.39
Alphabet Inc.,Google,Internet / Cloud / AI,NFL (National Football League),NFL,Sports / Entertainment,2025,data_provider,upstream,0.0,N,0.5,N,none,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,NFL (National Football League),NFL,FIRM_0104,organization,sports_league,,,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,NFL,NFL,FIRM_0104,organization,sports_league,,,True,FIRM_0104,NFL,FIRM_0006,Alphabet,target_is_upstream_of_source,True,False,0.0,0.1666666666666666,0,0,0.1
Alphabet Inc.,Google,Internet / Cloud / AI,Wiz,Google,Cybersecurity,2025,investment_target,downstream,0.3,Y,1.0,N,none,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Wiz,Wiz,FIRM_0172,subsidiary,cybersecurity,Google,FIRM_0061,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0172,Wiz,source_is_upstream_of_target,True,False,0.3,0.3333333333333333,0,1,0.3233333333333333
Alphabet Inc.,Google,Internet / Cloud / AI,Intersect Power,Google,Renewable Energy,2025,investment_target,downstream,0.3,Y,1.0,N,none,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Intersect Power,Intersect Power,FIRM_0072,company,energy,,,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0072,Intersect Power,source_is_upstream_of_target,True,False,0.3,0.3333333333333333,0,1,0.3233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,OpenAI,OpenAI,AI / ML,2025,ai_provider,mutual,0.7,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,FIRM_0097,Microsoft,FIRM_0115,OpenAI,mutual_source_to_target,True,True,0.7,0.1666666666666666,1,1,0.5766666666666667
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,OpenAI,OpenAI,AI / ML,2025,ai_provider,mutual,0.7,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,FIRM_0115,OpenAI,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.7,0.1666666666666666,1,1,0.5766666666666667
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Activision Blizzard, Inc.",Microsoft,Gaming,2025,subsidiary,mutual,0.3,Y,1.0,N,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Activision Blizzard, Inc.",Activision Blizzard,FIRM_0003,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0003,Activision Blizzard,mutual_source_to_target,True,True,0.3,0.3333333333333333,0,1,0.3233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Activision Blizzard, Inc.",Microsoft,Gaming,2025,subsidiary,mutual,0.3,Y,1.0,N,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Activision Blizzard, Inc.",Activision Blizzard,FIRM_0003,subsidiary,gaming,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0003,Activision Blizzard,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.3333333333333333,0,1,0.3233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Nuance Communications, Inc.",Microsoft,AI / Speech Technology,2025,subsidiary,mutual,0.3,Y,1.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Nuance Communications, Inc.",Nuance Communications,FIRM_0110,subsidiary,ai_software,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0110,Nuance Communications,mutual_source_to_target,True,True,0.3,0.3333333333333333,1,1,0.5233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,"Nuance Communications, Inc.",Microsoft,AI / Speech Technology,2025,subsidiary,mutual,0.3,Y,1.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,"Nuance Communications, Inc.",Nuance Communications,FIRM_0110,subsidiary,ai_software,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0110,Nuance Communications,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.3333333333333333,1,1,0.5233333333333333
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,LinkedIn,Microsoft,Professional Network / SaaS,2025,subsidiary,mutual,0.3,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,LinkedIn,LinkedIn,FIRM_0084,subsidiary,social_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0084,LinkedIn,mutual_source_to_target,True,True,0.3,0.1666666666666666,1,1,0.4566666666666666
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,LinkedIn,Microsoft,Professional Network / SaaS,2025,subsidiary,mutual,0.3,Y,0.5,Y,operational,Item7,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,LinkedIn,LinkedIn,FIRM_0084,subsidiary,social_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0084,LinkedIn,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.1666666666666666,1,1,0.4566666666666666
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,GitHub,Microsoft,Dev Tools / Open Source,2025,subsidiary,mutual,0.3,Y,0.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,GitHub,GitHub,FIRM_0060,subsidiary,developer_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0097,Microsoft,FIRM_0060,GitHub,mutual_source_to_target,True,True,0.3,0.0,1,1,0.39
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,GitHub,Microsoft,Dev Tools / Open Source,2025,subsidiary,mutual,0.3,Y,0.0,Y,operational,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,GitHub,GitHub,FIRM_0060,subsidiary,developer_platform,Microsoft,FIRM_0097,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,FIRM_0060,GitHub,FIRM_0097,Microsoft,mutual_target_to_source,True,True,0.3,0.0,1,1,0.39
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,Dell Technologies,Dell Technologies,Hardware / IT Infrastructure,2025,customer,downstream,0.3,N,0.0,N,none,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,Dell Technologies,Dell Technologies,FIRM_0048,parent,hardware,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Dell Technologies,Dell Technologies,FIRM_0048,parent,hardware,,,True,FIRM_0097,Microsoft,FIRM_0048,Dell Technologies,source_is_upstream_of_target,True,False,0.3,0.0,0,0,0.1
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,Hewlett-Packard Enterprise,Hewlett Packard Enterprise (HPE),Hardware / IT Infrastructure,2025,customer,downstream,0.3,N,0.0,N,none,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,Hewlett-Packard Enterprise,Hewlett Packard Enterprise,FIRM_0067,parent,enterprise_hardware,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Hewlett Packard Enterprise (HPE),Hewlett Packard Enterprise,FIRM_0067,parent,enterprise_hardware,,,True,FIRM_0097,Microsoft,FIRM_0067,Hewlett Packard Enterprise,source_is_upstream_of_target,True,False,0.3,0.0,0,0,0.1
Microsoft Corporation,Microsoft,Enterprise Software / Cloud,Lenovo Group,Lenovo,Hardware / IT,2025,customer,downstream,0.3,N,0.0,N,none,Item1,Microsoft Corporation,Microsoft,FIRM_0097,parent,company,,,True,Lenovo Group,Lenovo,FIRM_0083,parent,hardware,,,True,Microsoft,Microsoft,FIRM_0097,parent,company,,,True,Lenovo,Lenovo,FIRM_0083,parent,hardware,,,True,FIRM_0097,Microsoft,FIRM_0083,Lenovo,source_is_upstream_of_target,True,False,0.3,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Amazon Web Services (AWS),Amazon,Cloud / Infrastructure,2025,cloud_provider,upstream,0.3,N,0.0,N,operational,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Amazon Web Services (AWS),Amazon Web Services,FIRM_0012,service,cloud_provider,Amazon,FIRM_0009,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Amazon,Amazon,FIRM_0009,parent,company,,,True,FIRM_0012,Amazon Web Services,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.3,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Google Cloud,Google,Cloud / Infrastructure,2025,cloud_provider,upstream,0.3,N,0.0,N,operational,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Google Cloud,Google Cloud,FIRM_0062,service,cloud_provider,Google,FIRM_0061,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0062,Google Cloud,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.3,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Alibaba Cloud,Alibaba,Cloud / Infrastructure,2025,cloud_provider,upstream,0.3,N,0.0,N,operational,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Alibaba Cloud,Alibaba Cloud,FIRM_0005,service,cloud_provider,Alibaba,FIRM_0004,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0005,Alibaba Cloud,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.3,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),OpenAI,OpenAI,AI / ML,2025,ai_provider,upstream,0.3,N,0.0,N,governance,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,OpenAI,OpenAI,FIRM_0115,subsidiary,ai_lab,OpenAI Group,FIRM_0116,True,FIRM_0115,OpenAI,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.3,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Perplexity,Perplexity AI,AI-Powered Search,2025,ai_provider,upstream,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Perplexity,Perplexity AI,FIRM_0122,company,ai_search,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Perplexity AI,Perplexity AI,FIRM_0122,company,ai_search,,,True,FIRM_0122,Perplexity AI,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Palantir,Palantir Technologies,Data Analytics / AI,2025,ai_provider,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Palantir,Palantir Technologies,FIRM_0120,parent,data_analytics,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Palantir Technologies,Palantir Technologies,FIRM_0120,parent,data_analytics,,,True,FIRM_0132,SAP,FIRM_0120,Palantir Technologies,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Palantir,Palantir Technologies,Data Analytics / AI,2025,ai_provider,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Palantir,Palantir Technologies,FIRM_0120,parent,data_analytics,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Palantir Technologies,Palantir Technologies,FIRM_0120,parent,data_analytics,,,True,FIRM_0120,Palantir Technologies,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Mistral AI,Mistral AI,AI / ML,2025,ai_provider,upstream,0.3,N,0.0,N,governance,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Mistral AI,Mistral AI,FIRM_0099,company,ai_lab,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Mistral AI,Mistral AI,FIRM_0099,company,ai_lab,,,True,FIRM_0099,Mistral AI,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.3,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Bleu,Bleu,AI / ML,2025,ai_provider,upstream,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Bleu,Bleu,FIRM_0027,joint_venture_partner,sovereign_cloud_provider,Orange; Capgemini,FIRM_0180; FIRM_0031,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Bleu,Bleu,FIRM_0027,joint_venture_partner,sovereign_cloud_provider,Orange; Capgemini,FIRM_0180; FIRM_0031,True,FIRM_0027,Bleu,FIRM_0132,SAP,target_is_upstream_of_source,True,False,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Databricks,Databricks,Data / AI Platform,2025,data_provider,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Databricks,Databricks,FIRM_0046,parent,data_ai_platform,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Databricks,Databricks,FIRM_0046,parent,data_ai_platform,,,True,FIRM_0132,SAP,FIRM_0046,Databricks,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Databricks,Databricks,Data / AI Platform,2025,data_provider,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Databricks,Databricks,FIRM_0046,parent,data_ai_platform,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Databricks,Databricks,FIRM_0046,parent,data_ai_platform,,,True,FIRM_0046,Databricks,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Snowflake,Snowflake,Cloud Data Platform,2025,data_provider,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Snowflake,Snowflake,FIRM_0155,parent,data_platform,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Snowflake,Snowflake,FIRM_0155,parent,data_platform,,,True,FIRM_0132,SAP,FIRM_0155,Snowflake,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Snowflake,Snowflake,Cloud Data Platform,2025,data_provider,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Snowflake,Snowflake,FIRM_0155,parent,data_platform,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Snowflake,Snowflake,FIRM_0155,parent,data_platform,,,True,FIRM_0155,Snowflake,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Accenture,Accenture,IT Consulting,2025,software_vendor,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Accenture,Accenture,FIRM_0002,parent,it_consulting,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Accenture,Accenture,FIRM_0002,parent,it_consulting,,,True,FIRM_0132,SAP,FIRM_0002,Accenture,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Accenture,Accenture,IT Consulting,2025,software_vendor,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Accenture,Accenture,FIRM_0002,parent,it_consulting,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Accenture,Accenture,FIRM_0002,parent,it_consulting,,,True,FIRM_0002,Accenture,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Capgemini,Capgemini,IT Consulting,2025,software_vendor,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Capgemini,Capgemini,FIRM_0031,parent,it_consulting,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Capgemini,Capgemini,FIRM_0031,parent,it_consulting,,,True,FIRM_0132,SAP,FIRM_0031,Capgemini,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),Capgemini,Capgemini,IT Consulting,2025,software_vendor,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,Capgemini,Capgemini,FIRM_0031,parent,it_consulting,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,Capgemini,Capgemini,FIRM_0031,parent,it_consulting,,,True,FIRM_0031,Capgemini,FIRM_0132,SAP,mutual_target_to_source,True,True,0.0,0.0,0,0,0.1
SAP SE,SAP,Enterprise Software (ERP),ADP,ADP,HR / Payroll Software,2025,software_vendor,mutual,0.0,N,0.0,N,none,Item4,SAP SE,SAP,FIRM_0132,parent,enterprise_software,,,True,ADP,ADP,FIRM_0001,parent,hr_software,,,True,SAP,SAP,FIRM_0132,parent,enterprise_software,,,True,ADP,ADP,FIRM_0001,parent,hr_software,,,True,FIRM_0132,SAP,FIRM_0001,ADP,mutual_source_to_target,True,True,0.0,0.0,0,0,0.1
